2023-10-24 21:49:25,214 - INFO: b'N:0'
2023-10-24 21:49:25,222 - INFO: b'S:8'
2023-10-24 21:49:25,224 - INFO: b'L:None'
2023-10-24 21:49:25,224 - INFO: b'O:None'
2023-10-24 21:49:28,970 - INFO: b'N:11'
2023-10-24 21:49:28,970 - INFO: b'S:12'
2023-10-24 21:49:28,978 - INFO: b'L:4'
2023-10-24 21:49:28,979 - INFO: b'O:8'
2023-10-24 21:49:33,976 - INFO: b'N:9'
2023-10-24 21:49:33,976 - INFO: b'S:None'
2023-10-24 21:49:33,984 - INFO: b'L:None'
2023-10-24 21:49:33,989 - INFO: b'O:None'
2023-10-24 21:49:38,985 - INFO: b'N:11'
2023-10-24 21:49:38,985 - INFO: b'S:6'
2023-10-24 21:49:38,993 - INFO: b'L:2'
2023-10-24 21:49:39,033 - INFO: b'O:5'
2023-10-24 21:49:43,988 - INFO: b'N:9'
2023-10-24 21:49:43,996 - INFO: b'S:1'
2023-10-24 21:49:43,996 - INFO: b'L:17'
2023-10-24 21:49:44,004 - INFO: b'O:12'
2023-10-24 21:49:49,000 - INFO: b'N:17'
2023-10-24 21:49:49,000 - INFO: b'S:6'
2023-10-24 21:49:49,008 - INFO: b'L:3'
2023-10-24 21:49:49,008 - INFO: b'O:0'
